Model,Model-2,Brand-2,Manufacturer SKU,RacksBrax Products,Accessories,Product1,Product1 SKU,Product1 URL,Product2,Product2 SKU,Product2 URL,Download Link,Logo,Note
23ZERO FALCON 270,23Zero FALCON 270,23ZERO,,XD Products,Awnings,XD Hitch (TRIPLE),9001,https://www.racksbrax.com/products/xd-hitch?variant=43046074318914,,,,https://cdn.shopify.com/s/files/1/0099/0232/5826/files/RB-REF-014J_-_23Zero_Rev_1_October_2023.pdf?v=1697611333,home-sq-23zero.png (https://v5.airtableusercontent.com/v3/u/54/54/1782878400000/lE_3lfe3Nu5TcG45DVEFrg/IS0iYINZLGJyqQb_d907-28sRSGGbFLGHj3GxB9cGaeOgWZEwway9K3JfcD2--jyuu9ChkU-WfYbHD_sETx-hX8HJiyCnjFDjtKcNDPRnCnpyHsod6o2FRiSXIhU_BEg5euAAOa13JzUmRBFqrC_b5NgokDDtD2evaMA__fVm0w/UB4NK2rPtW97qoOP1LEGPjB-WpwXv87YWKxoxjrlAms),
23ZERO OSPREY,23ZERO OSPREY,23ZERO,,XD Products,Awnings,XD Hitch (DOUBLE),9000,https://www.racksbrax.com/products/xd-hitch?variant=43046041387074,,,,https://cdn.shopify.com/s/files/1/0099/0232/5826/files/RB-REF-014J_-_23Zero_Rev_1_October_2023.pdf?v=1697611333,home-sq-23zero.png (https://v5.airtableusercontent.com/v3/u/54/54/1782878400000/lE_3lfe3Nu5TcG45DVEFrg/IS0iYINZLGJyqQb_d907-28sRSGGbFLGHj3GxB9cGaeOgWZEwway9K3JfcD2--jyuu9ChkU-WfYbHD_sETx-hX8HJiyCnjFDjtKcNDPRnCnpyHsod6o2FRiSXIhU_BEg5euAAOa13JzUmRBFqrC_b5NgokDDtD2evaMA__fVm0w/UB4NK2rPtW97qoOP1LEGPjB-WpwXv87YWKxoxjrlAms),
23ZERO PEREGRINE 270,23Zero PEREGRINE 270,23ZERO,,XD Products,Awnings,XD Hitch (TRIPLE),9001,https://www.racksbrax.com/products/xd-hitch?variant=43046074318914,,,,https://cdn.shopify.com/s/files/1/0099/0232/5826/files/RB-REF-014J_-_23Zero_Rev_1_October_2023.pdf?v=1697611333,home-sq-23zero.png (https://v5.airtableusercontent.com/v3/u/54/54/1782878400000/lE_3lfe3Nu5TcG45DVEFrg/IS0iYINZLGJyqQb_d907-28sRSGGbFLGHj3GxB9cGaeOgWZEwway9K3JfcD2--jyuu9ChkU-WfYbHD_sETx-hX8HJiyCnjFDjtKcNDPRnCnpyHsod6o2FRiSXIhU_BEg5euAAOa13JzUmRBFqrC_b5NgokDDtD2evaMA__fVm0w/UB4NK2rPtW97qoOP1LEGPjB-WpwXv87YWKxoxjrlAms),
23ZERO RAVEN 2000,23Zero RAVEN 200,23ZERO,,HD Products,Awnings,HD Hitch Standard,8159,https://www.racksbrax.com/products/hd-hitch,,,,https://cdn.shopify.com/s/files/1/0099/0232/5826/files/RB-REF-014J_-_23Zero_Rev_1_October_2023.pdf?v=1697611333,home-sq-23zero.png (https://v5.airtableusercontent.com/v3/u/54/54/1782878400000/lE_3lfe3Nu5TcG45DVEFrg/IS0iYINZLGJyqQb_d907-28sRSGGbFLGHj3GxB9cGaeOgWZEwway9K3JfcD2--jyuu9ChkU-WfYbHD_sETx-hX8HJiyCnjFDjtKcNDPRnCnpyHsod6o2FRiSXIhU_BEg5euAAOa13JzUmRBFqrC_b5NgokDDtD2evaMA__fVm0w/UB4NK2rPtW97qoOP1LEGPjB-WpwXv87YWKxoxjrlAms),
23ZERO RAVEN 2500,23ZERO RAVEN 2500,23ZERO,,HD Products,Awnings,HD Hitch Standard,8159,https://www.racksbrax.com/products/hd-hitch,,,,https://cdn.shopify.com/s/files/1/0099/0232/5826/files/RB-REF-014J_-_23Zero_Rev_1_October_2023.pdf?v=1697611333,home-sq-23zero.png (https://v5.airtableusercontent.com/v3/u/54/54/1782878400000/lE_3lfe3Nu5TcG45DVEFrg/IS0iYINZLGJyqQb_d907-28sRSGGbFLGHj3GxB9cGaeOgWZEwway9K3JfcD2--jyuu9ChkU-WfYbHD_sETx-hX8HJiyCnjFDjtKcNDPRnCnpyHsod6o2FRiSXIhU_BEg5euAAOa13JzUmRBFqrC_b5NgokDDtD2evaMA__fVm0w/UB4NK2rPtW97qoOP1LEGPjB-WpwXv87YWKxoxjrlAms),
23ZERO SHOWER TENT,23Zero SHOWER TENT,23ZERO,,HD Products,Shower Tents,HD Hitch Standard,8159,https://www.racksbrax.com/products/hd-hitch,,,,https://cdn.shopify.com/s/files/1/0099/0232/5826/files/RB-REF-014J_-_23Zero_Rev_1_October_2023.pdf?v=1697611333,home-sq-23zero.png (https://v5.airtableusercontent.com/v3/u/54/54/1782878400000/lE_3lfe3Nu5TcG45DVEFrg/IS0iYINZLGJyqQb_d907-28sRSGGbFLGHj3GxB9cGaeOgWZEwway9K3JfcD2--jyuu9ChkU-WfYbHD_sETx-hX8HJiyCnjFDjtKcNDPRnCnpyHsod6o2FRiSXIhU_BEg5euAAOa13JzUmRBFqrC_b5NgokDDtD2evaMA__fVm0w/UB4NK2rPtW97qoOP1LEGPjB-WpwXv87YWKxoxjrlAms),
"30 SECOND STORMCHASER
(2.7m passenger side)",30 SECOND STORMCHASER - 2.7m (passenger side),30 SECOND,,XD Products,Awnings,XD Hitch (DOUBLE),9000,https://www.racksbrax.com/products/xd-hitch?variant=43046041387074,XD Multi-Awn Adaptor (DOUBLE),9114,https://www.racksbrax.com/products/xd-multi-awn-adaptor?variant=43040051822658,https://cdn.shopify.com/s/files/1/0099/0232/5826/files/RB-REF-014L_-_30_Second_Rev_3_October_2023.pdf?v=1697611332,home-sq-30second.png (https://v5.airtableusercontent.com/v3/u/54/54/1782878400000/38Fy0NsEgS8P0uHnk5gIlg/kcOfGh9f3Tm0uOoyftzBiP5PM2vHUWOInwjL1PDOCA1czrmjfeHMa4HFybuWR61jhTEqeLOy27k1Y8zIp9tHViWCvXqqQ_9o26yL8Q0w2Q_fhnKmlXXT57pVPxAoygMvqEBVTeszAxrKY0GtpS9npmexyfJLKXib-KPU70tj7cc/heOu6PZ_VjZGzJ87P9pfNhBvEIVAJwzp-MJLltjAoPg),
"30 SECOND WING AWNING (LARGE)
(2.7m)",30 SECOND WING AWNING (LARGE) - 2.7m,30 SECOND,,XD Products,Awnings,XD Hitch (DOUBLE),9000,https://www.racksbrax.com/products/xd-hitch?variant=43046041387074,XD Multi-Awn Adaptor (DOUBLE),9114,https://www.racksbrax.com/products/xd-multi-awn-adaptor?variant=43040051822658,https://cdn.shopify.com/s/files/1/0099/0232/5826/files/RB-REF-014L_-_30_Second_Rev_3_October_2023.pdf?v=1697611332,home-sq-30second.png (https://v5.airtableusercontent.com/v3/u/54/54/1782878400000/38Fy0NsEgS8P0uHnk5gIlg/kcOfGh9f3Tm0uOoyftzBiP5PM2vHUWOInwjL1PDOCA1czrmjfeHMa4HFybuWR61jhTEqeLOy27k1Y8zIp9tHViWCvXqqQ_9o26yL8Q0w2Q_fhnKmlXXT57pVPxAoygMvqEBVTeszAxrKY0GtpS9npmexyfJLKXib-KPU70tj7cc/heOu6PZ_VjZGzJ87P9pfNhBvEIVAJwzp-MJLltjAoPg),
"30 SECOND WING AWNING (MEDIUM)
(2.1m)",30 SECOND WING AWNING (MEDIUM)- 2.1m,30 SECOND,,XD Products,Awnings,XD Hitch (DOUBLE),9000,https://www.racksbrax.com/products/xd-hitch?variant=43046041387074,XD Multi-Awn Adaptor (DOUBLE),9114,https://www.racksbrax.com/products/xd-multi-awn-adaptor?variant=43040051822658,https://cdn.shopify.com/s/files/1/0099/0232/5826/files/RB-REF-014L_-_30_Second_Rev_3_October_2023.pdf?v=1697611332,home-sq-30second.png (https://v5.airtableusercontent.com/v3/u/54/54/1782878400000/38Fy0NsEgS8P0uHnk5gIlg/kcOfGh9f3Tm0uOoyftzBiP5PM2vHUWOInwjL1PDOCA1czrmjfeHMa4HFybuWR61jhTEqeLOy27k1Y8zIp9tHViWCvXqqQ_9o26yL8Q0w2Q_fhnKmlXXT57pVPxAoygMvqEBVTeszAxrKY0GtpS9npmexyfJLKXib-KPU70tj7cc/heOu6PZ_VjZGzJ87P9pfNhBvEIVAJwzp-MJLltjAoPg),
ADVENTURE KINGS 270 FREE-STANDING AWNING,ADVENTURE KINGS 270 FREE-STANDINGAWNING,ADVENTURE KINGS,,XD Products,Awnings,XD Hitch (TRIPLE),9001,https://www.racksbrax.com/products/xd-hitch?variant=43046074318914,XD Multi-Awn Adaptor (TRIPLE),9115,https://www.racksbrax.com/products/xd-multi-awn-adaptor?variant=43040052019266,https://cdn.shopify.com/s/files/1/0099/0232/5826/files/RB-REF-014O_-_Adventure_Kings_Rev_5_July_2025.pdf?v=1753923948,home-sq-kings.png (https://v5.airtableusercontent.com/v3/u/54/54/1782878400000/pIBMX9mS0-T70foQOf-F2A/SZ2jb8PqKXk6J2KIl0UYDyY-5NzA565qn367orHzmS0L1Lq9VvWMzJT-KckB41IMk9nHRACFoAFuw_08u8kAt2wmK5uftzv8XHwnP7ByXDWiv-RZe1Q-X8ShO2tp3R-Ag9mJhflQKLrgOzeOACTbPeX4YYWH0mq-PYQ2oquU2O8/cMHW8ufoFxp0d9YGBTERct4w1R2Ef7CM7G8uQmQDrU4),
